pool_addr,APT,amAPT,USD1,USDT,USDC,goAPT,kAPT,RION,TAPP,WBTC,xBTC,aBTC,AMA,BUBBLE,APTDOG,WHIMSY,JET,stkAPT,PEPTOS,SANAPTOS,LCAT,PEACE
0x0 (vault),106494107872554,84782038992471,760800269684,1554317660597,1062689079173,49610786969800,14578085722000,170597945012,0,3401590,3002609,2033649172,558746050011379,2689968236288268,464383920348118,286685030982732,723554266421145,68985426914,572185005840953,796412457896767,795778846827947,795857912995970
0xb5afb711ef141908e5a11c42aae6cb4b08ee4bcf1d5a9961cd882d52b53bd1ec,15467593018799,84776605315747,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0x76e7c1ad414f50274b371e51b7a272cf774c7027c2e4433b9f82ab47a6e5527b,N/A,N/A,742029955511,1449765724552,874531632721,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0x3004b3e808a2ab9e1589d60ebc2f6ac22ed42403764222cf3e91e891d0111545,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0xb98e96345d129a6d5775be1c4ef3753b740c8f3a4e1c9d6ea0a4ae2f5681ee61,9660504709745,N/A,N/A,N/A,N/A,N/A,14519454278818,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0x8f9dd0b94f1c18f96c00dfbff8254f20304f05713bb841d20b203f9446a75b9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0x4ed8fda291b604491ead0cc9e5232bc1edc1f31d0e0cf343be043d8c792af1a8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0xd50dc4fe4995f10aaa9f4ecd5acb0f5f3713ac8715b217325c57bd52e623d0f5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0x82e0b52f95ae57b35220726a32c3415919389aa5b8baa33a058d7125797535cc,N/A,N/A,N/A,37592875577,23331720049,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0x1967bf3d06eaa967c00d7535aacdc0fba2570820940b42a79ac34b3a7efe7072,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0x1527374dcf52dee16b4da3bd0952823e12e5f567939b50cfbc4c3d993b529dca,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3399560,3001321,2033549098,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0xb942d4d020f49410e53c3b52c2c46f02866d790e52e8375f48d512a65e46e04c,655544645493,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,558713801972321,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0x128af42339593a73dad6298e19a57e9c2225e4b4bc4c4410cee789c7059e60f4,255164006987,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2689782552029332,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0xcdba6446123f6fd3d39daa4252d8c63494a8f6774e3406bc4279c9a43c58fca4,N/A,N/A,2005561717,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,464383920348118,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0x599e3ec98bb31d5dd7bf7540642c87ece566534f22f0c5ff54c137ec16a8c41,N/A,N/A,5150245787,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,286682246805045,N/A,N/A,N/A,N/A,N/A,N/A
